rank,state,state_name,weighted_score,f1a_first_party_cause,f1b_third_party_cause,f2_statutory_proa,f3_liability_standard,f4_extracontractual_damages,f5_punitive_damages,f6_statutory_penalty,f7_attorney_fees,f8_pre_suit_barriers,f9_admin_remedy,f10_recent_appellate_trend
1,WA,Washington,8.367,10.0,6.6667,10.0,6.6667,10.0,6.6667,10.0,10.0,6.6667,6.6667,5.0
2,MA,Massachusetts,7.867,7.5,6.6667,10.0,6.6667,7.5,6.6667,10.0,10.0,6.6667,6.6667,5.0
3,PA,Pennsylvania,7.767,7.5,6.6667,10.0,6.6667,7.5,6.6667,7.5,10.0,10.0,6.6667,5.0
4,TX,Texas,7.617,7.5,6.6667,10.0,6.6667,7.5,6.6667,10.0,7.5,6.6667,6.6667,5.0
5,NM,New Mexico,7.417,10.0,6.6667,10.0,6.6667,5.0,6.6667,7.5,7.5,10.0,6.6667,5.0
6,CO,Colorado,7.367,10.0,6.6667,7.5,6.6667,7.5,6.6667,7.5,7.5,10.0,6.6667,5.0
7,MT,Montana,7.05,10.0,10.0,10.0,6.6667,7.5,6.6667,5.0,2.5,10.0,6.6667,5.0
8,RI,Rhode Island,6.867,7.5,6.6667,7.5,6.6667,7.5,6.6667,5.0,7.5,10.0,6.6667,5.0
9,KY,Kentucky,6.567,7.5,6.6667,7.5,6.6667,7.5,6.6667,2.5,7.5,10.0,6.6667,5.0
10,MO,Missouri,6.317,5.0,6.6667,5.0,6.6667,7.5,6.6667,5.0,7.5,10.0,6.6667,5.0
11,WV,West Virginia,6.183,7.5,3.3333,5.0,6.6667,7.5,6.6667,5.0,7.5,6.6667,6.6667,5.0
12,CT,Connecticut,6.1,5.0,6.6667,5.0,3.3333,7.5,6.6667,7.5,5.0,10.0,6.6667,5.0
13,NV,Nevada,6.067,7.5,6.6667,7.5,6.6667,7.5,6.6667,2.5,2.5,10.0,6.6667,5.0
14,CA,California,5.9,10.0,10.0,0.0,6.6667,10.0,6.6667,2.5,5.0,10.0,6.6667,5.0
15,NC,North Carolina,5.8,5.0,6.6667,5.0,3.3333,5.0,6.6667,7.5,5.0,10.0,6.6667,5.0
16,LA,Louisiana,5.617,5.0,6.6667,5.0,6.6667,5.0,6.6667,7.5,7.5,6.6667,6.6667,0.0
16,WI,Wisconsin,5.617,7.5,6.6667,2.5,6.6667,7.5,6.6667,2.5,5.0,10.0,6.6667,5.0
18,TN,Tennessee,5.6,5.0,6.6667,5.0,3.3333,5.0,6.6667,7.5,5.0,6.6667,6.6667,5.0
19,SC,South Carolina,5.417,7.5,6.6667,2.5,6.6667,5.0,6.6667,5.0,5.0,6.6667,6.6667,5.0
20,GA,Georgia,5.35,5.0,6.6667,5.0,3.3333,2.5,6.6667,7.5,7.5,3.3333,6.6667,5.0
21,ID,Idaho,5.317,7.5,6.6667,0.0,6.6667,7.5,6.6667,2.5,7.5,6.6667,6.6667,5.0
22,AK,Alaska,5.267,7.5,6.6667,0.0,6.6667,7.5,6.6667,2.5,5.0,10.0,6.6667,5.0
22,HI,Hawaii,5.267,7.5,6.6667,0.0,6.6667,7.5,6.6667,2.5,5.0,10.0,6.6667,5.0
22,IA,Iowa,5.267,7.5,6.6667,0.0,6.6667,7.5,6.6667,2.5,5.0,10.0,6.6667,5.0
25,AZ,Arizona,5.217,10.0,6.6667,0.0,6.6667,7.5,6.6667,2.5,2.5,10.0,6.6667,5.0
26,FL,Florida,5.15,5.0,6.6667,5.0,6.6667,7.5,3.3333,5.0,7.5,3.3333,6.6667,0.0
26,MD,Maryland,5.15,5.0,6.6667,5.0,6.6667,5.0,0.0,5.0,7.5,0.0,10.0,5.0
28,AR,Arkansas,5.133,5.0,6.6667,2.5,0.0,5.0,6.6667,5.0,7.5,10.0,6.6667,5.0
29,OH,Ohio,4.967,7.5,6.6667,0.0,6.6667,7.5,6.6667,0.0,5.0,10.0,6.6667,5.0
29,OK,Oklahoma,4.967,7.5,6.6667,0.0,6.6667,7.5,6.6667,0.0,5.0,10.0,6.6667,5.0
31,ND,North Dakota,4.95,7.5,6.6667,0.0,6.6667,7.5,6.6667,0.0,7.5,10.0,3.3333,5.0
32,IL,Illinois,4.9,2.5,6.6667,2.5,6.6667,2.5,3.3333,5.0,7.5,10.0,6.6667,5.0
