year,line,rank_in_study,company_canonical,company_name,exposure,justified_ratio,justified_count,study_year
2020,auto,1,CALIFORNIA CAS IND EXCH,California Cas Ind Exch,156638,1.3,2,2023
2020,auto,2,CSAA INSURANCE EXCHANGE,CSAA Insurance Exchange,1938284,1.0,20,2023
2020,auto,3,INTERINSURANCE EXCHANGE OF THE AUTOMOBILE CLUB,Interinsurance Exchange of the Automobile Club,2719460,1.2,32,2023
2020,auto,4,UNITED SERVICES AUTOMOBILE ASSOCIATION,United Services Automobile Association,375865,1.7,7,2023
2020,auto,5,MERCURY INSURANCE COMPANY,Mercury Insurance Company,1698534,1.3,21,2023
2020,auto,6,GARRISON PROPERTY AND CASUALTY INSURANCE COMPANY,Garrison Property and Casualty Insurance Company,222995,0.5,1,2023
2020,auto,7,WAWANESA GENERAL INSURANCE CO.,Wawanesa General Insurance Co.,576011,0.9,5,2023
2020,auto,8,PROGRESSIVE DIRECT INSURANCE COMPANY,Progressive Direct Insurance Company,123617,1.8,2,2023
2020,auto,9,GOVERNMENT EMPLOYEES INSURANCE COMPANY,Government Employees insurance Company,300446,0.3,1,2023
2020,auto,10,VIKINGS INS CO OF WI,Vikings Ins Co Of WI,256958,1.6,4,2023
2020,auto,11,MID CENTURY INS CO,Mid Century Ins Co,299987,1.1,4,2023
2020,auto,12,PROGRESSIVE WEST INSURANCE COMPANY,Progressive West Insurance Company,482641,1.7,7,2023
2020,auto,13,SAFECO INSURANCE COMPANY OF AMERICA,Safeco Insurance Company of America,352797,3.4,12,2023
2020,auto,14,USAA CASUALTY INSURANCE COMPANY,USAA Casualty Insurance Company,484598,1.8,9,2023
2020,auto,15,USAA GENERAL INDEMNITY COMPANY,USAA General Indemnity Company,259267,2.3,6,2023
2020,auto,16,AMERICAN FAMILY CONNECT PROPERTY AND CASUALTY INSURANCE,American Family Connect Property and Casualty Insurance,634556,2.0,11,2023
2020,auto,17,"FOREMOST INSURANCE COMPANY GRAND RAPIDS, MICHIGAN","Foremost Insurance Company Grand Rapids, Michigan",82915,1.2,1,2023
2020,auto,18,TRAVELERS COMMERCIAL INSURANCE COMPANY,Travelers Commercial Insurance Company,289186,2.4,6,2023
