year,coverage_type,percentage,source_ar_year
2017,Accident & Health,25.01,2020
2017,Automobile,45.58,2020
2017,Earthquake,0.12,2020
2017,"Fire, Allied Lines & CMP",1.44,2020
2017,Homeowners,9.22,2020
2017,Liability,2.15,2020
2017,Life & Annuity,5.64,2020
2017,Misc./Other,10.86,2020
2018,Accident & Health,25.95,2021
2018,Automobile,43.38,2021
2018,Earthquake,0.12,2021
2018,"Fire, Allied Lines & CMP",1.76,2021
2018,Homeowners,10.64,2021
2018,Liability,1.85,2021
2018,Life & Annuity,5.64,2021
2018,Misc./Other,10.72,2021
2019,Accident & Health,25.25,2022
2019,Automobile,41.61,2022
2019,Earthquake,0.07,2022
2019,"Fire, Allied Lines & CMP",2.32,2022
2019,Homeowners,13.5,2022
2019,Liability,1.8,2022
2019,Life & Annuity,4.88,2022
2019,Misc./Other,10.5,2022
2020,Accident & Health,21.53,2023
2020,Automobile,38.65,2023
2020,Earthquake,0.12,2023
2020,"Fire, Allied Lines & CMP",3.41,2023
2020,Homeowners,15.06,2023
2020,Liability,2.0,2023
2020,Life & Annuity,4.91,2023
2020,Misc./Other,14.32,2023
2021,Accident & Health,35.02,2024
2021,Automobile,31.19,2024
2021,Earthquake,0.07,2024
2021,"Fire, Allied Lines & CMP",3.14,2024
2021,Homeowners,12.85,2024
2021,Liability,1.67,2024
2021,Life & Annuity,4.42,2024
2021,Misc./Other,11.64,2024
2022,Accident & Health,33.09,2024
2022,Automobile,33.78,2024
2022,Earthquake,0.06,2024
2022,"Fire, Allied Lines & CMP",2.91,2024
2022,Homeowners,12.98,2024
2022,Liability,1.41,2024
2022,Life & Annuity,4.03,2024
2022,Misc./Other,11.74,2024
2023,Accident & Health,28.68,2024
2023,Automobile,35.23,2024
2023,Earthquake,0.07,2024
2023,"Fire, Allied Lines & CMP",3.48,2024
2023,Homeowners,16.36,2024
2023,Liability,1.59,2024
2023,Life & Annuity,3.38,2024
2023,Misc./Other,11.21,2024
2024,Accident & Health,30.0,2024
2024,Automobile,33.24,2024
2024,Earthquake,0.07,2024
2024,"Fire, Allied Lines & CMP",5.0,2024
2024,Homeowners,17.57,2024
2024,Liability,1.43,2024
2024,Life & Annuity,3.2,2024
2024,Misc./Other,9.49,2024
