year,line,source_study_year,total_justified_top50,total_exposure_top50,n_companies,justified_per_100k_exposure
2020,auto,2023,799,28434940,50,2.809923284522492
2020,home,2023,328,11734885,50,2.795084911356183
2020,life,2023,88,8486062,50,1.036994544701653
2021,auto,2024,943,28895298,50,3.2635067477068413
2021,home,2024,398,12042586,50,3.304937992554091
2021,life,2024,88,8643245,50,1.0181361282712684
2022,auto,2025,934,28711911,50,3.2530053468053732
2022,home,2025,325,11976125,50,2.7137325303468356
2022,life,2025,91,8539414,50,1.0656468933348353
2023,auto,2025,957,28711911,50,3.3331114741892307
2023,home,2025,680,11976125,50,5.677963448110303
2023,life,2025,88,8539414,50,1.0305156770710497
2024,auto,2025,1430,28711911,50,4.980511398213794
2024,home,2025,1267,11976125,50,10.57938189522905
2024,life,2025,97,8539414,50,1.1359093258624071
