fiscal_year,line,amount_usd,source_file
2022,life_health,4205506,FY2022.pdf
2022,property_casualty,15424844,FY2022.pdf
2022,total,19630350,FY2022.pdf
2023,health,4969764,FY2023.pdf
2023,life_annuity,3036786,FY2023.pdf
2023,life_health,8006550,FY2023.pdf
2023,marshall_fire,3756555,FY2023.pdf
2023,other_pc,9759961,FY2023.pdf
2023,property_casualty,13516516,FY2023.pdf
2023,total,21523066,FY2023.pdf
2024,auto,4995340,FY2024.pdf
2024,health,4080002,FY2024.pdf
2024,homeowners,10601710,FY2024.pdf
2024,life_annuity,3152428,FY2024.pdf
2024,life_health,7232430,FY2024.pdf
2024,property_casualty,19253299,FY2024.pdf
2024,total,26487192,FY2024.pdf
2025,auto,3880700,FY2025.pdf
2025,health,3011033,FY2025.pdf
2025,homeowners,5764272,FY2025.pdf
2025,life_annuity,4165805,FY2025.pdf
2025,life_health,7176838,FY2025.pdf
2025,other,253,FY2025.pdf
2025,other_pc,785278,FY2025.pdf
2025,property_casualty,10430250,FY2025.pdf
2025,total,17607341,FY2025.pdf
