year_closed,coverage,disposition,count
2018,,,57
2018,Homeowners,Company Position Substantiated,6
2018,Homeowners,No Jurisdiction,1
2018,Individual Private Passenger,,2
2019,,,54
2019,Homeowners,Company Position Substantiated,4
2019,Individual Private Passenger,Company Position Substantiated,1
2020,,,57
2020,Commercial Multi-Peril,Company Position Substantiated,1
2020,Group,,2
2020,Homeowners,Claim Settled,1
2020,Individual,Company Position Substantiated,10
2020,Individual,No Action Requested/Required,11
2020,Individual,Question of Fact/Contract/Provision/Legal Issue,2
2021,,,57
2021,A & H,No Action Requested/Required,6
2021,A & H,Question of Fact/Contract/Provision/Legal Issue,4
2021,Dwelling Fire,,2
2021,Group,Company Position Substantiated,3
2021,Group,No Action Requested/Required,1
2021,Group,No Jurisdiction,1
2021,Homeowners,,2
2021,Individual,,12
2021,Individual,Claim Settled,10
2021,Individual,Company Position Substantiated,45
2021,Individual,Compromised Settlement/Resolution,5
2021,Individual,Insufficient Information,4
2021,Individual,No Action Requested/Required,48
2021,Individual,No Jurisdiction,1
2021,Individual,Question of Fact/Contract/Provision/Legal Issue,10
2021,Individual Private Passenger,Company Position Overturned,1
2022,,,457
2022,,Company Position Overturned,16
2022,,Company Position Substantiated,22
2022,,Compromised Settlement/Resolution,2
2022,,Insufficient Information,5
2022,,No Action Requested/Required,1
2022,,No Jurisdiction,5
2022,,Question of Fact/Contract/Provision/Legal Issue,10
2022,A & H,,865
2022,A & H,Claim Settled,493
2022,A & H,Company Position Overturned,123
2022,A & H,Company Position Substantiated,508
2022,A & H,Complaint Withdrawn,8
2022,A & H,Compromised Settlement/Resolution,24
2022,A & H,Insufficient Information,32
2022,A & H,No Action Requested/Required,18
2022,A & H,No Jurisdiction,6
2022,A & H,Question of Fact/Contract/Provision/Legal Issue,99
2022,A & H,Referred to Another State’s Dept of Insurance,4
2022,Auto Warranty,,1
2022,Builder's Risk,Company Position Substantiated,1
2022,Business Interruption,,1
2022,Commercial,,22
2022,Commercial,Claim Settled,10
2022,Commercial,Company Position Overturned,18
2022,Commercial,Company Position Substantiated,45
2022,Commercial,Complaint Withdrawn,4
2022,Commercial,No Jurisdiction,1
2022,Commercial Multi-Peril,,15
2022,Commercial Multi-Peril,Claim Settled,2
2022,Commercial Multi-Peril,Company Position Overturned,25
2022,Commercial Multi-Peril,Company Position Substantiated,67
2022,Commercial Multi-Peril,Complaint Withdrawn,1
2022,Commercial Multi-Peril,No Jurisdiction,3
2022,Condo/Townhome,,13
2022,Condo/Townhome,Claim Settled,2
2022,Condo/Townhome,Company Position Overturned,4
2022,Condo/Townhome,Company Position Substantiated,23
2022,Condo/Townhome,No Jurisdiction,3
2022,Credit Life,Company Position Substantiated,2
2022,Directors & Officers,Company Position Substantiated,1
2022,Dwelling Fire,,9
2022,Dwelling Fire,Claim Settled,6
2022,Dwelling Fire,Company Position Substantiated,5
2022,Extended Warranty,,6
2022,Extended Warranty & Service Contracts,,14
2022,Extended Warranty & Service Contracts,Company Position Substantiated,8
2022,Farm owner/Ranch owner,,2
2022,Farm owner/Ranch owner,Company Position Substantiated,1
2022,Federal Flood,,2
2022,Federal Flood,Company Position Substantiated,4
2022,Federal Programs,No Jurisdiction,4
2022,"Fire, Allied Lines",,3
2022,"Fire, Allied Lines",Company Position Substantiated,9
2022,General,,17
2022,General,Company Position Substantiated,12
2022,Group,,796
2022,Group,Claim Settled,348
2022,Group,Company Position Overturned,127
2022,Group,Company Position Substantiated,386
2022,Group,Complaint Withdrawn,10
2022,Group,Compromised Settlement/Resolution,16
2022,Group,Insufficient Information,27
2022,Group,No Action Requested/Required,7
2022,Group,No Jurisdiction,14
2022,Group,Question of Fact/Contract/Provision/Legal Issue,112
2022,Group,Referred to Another State’s Dept of Insurance,4
2022,Group Annuities,No Action Requested/Required,2
2022,Group Life,,2
2022,Group Life,Claim Settled,8
2022,Group Life,Company Position Substantiated,16
2022,Group Life,Compromised Settlement/Resolution,8
2022,Group Life,No Action Requested/Required,5
2022,Group Life,No Jurisdiction,12
2022,Homeowners,,309
2022,Homeowners,Claim Settled,33
2022,Homeowners,Company Position Overturned,78
2022,Homeowners,Company Position Substantiated,394
2022,Homeowners,Complaint Withdrawn,3
2022,Homeowners,No Action Requested/Required,4
2022,Homeowners,No Jurisdiction,15
2022,Homeowners,Question of Fact/Contract/Provision/Legal Issue,1
2022,IRA,Compromised Settlement/Resolution,2
2022,Individual,,1023
2022,Individual,Claim Reopened,1
2022,Individual,Claim Settled,210
2022,Individual,Company Position Overturned,106
2022,Individual,Company Position Substantiated,319
2022,Individual,Compromised Settlement/Resolution,14
2022,Individual,Insufficient Information,13
2022,Individual,No Action Requested/Required,13
2022,Individual,No Jurisdiction,2
