year_closed,coverage,total,against_insurer,for_insurer,ambiguous,no_disposition,no_decision,against_rate_of_decided,against_rate_of_total
2018,,57,0,0,0,57,57,NaN,0.0
2018,ALL,66,0,6,1,59,60,0.0,0.0
2018,Homeowners,7,0,6,1,0,1,0.0,0.0
2018,Individual Private Passenger,2,0,0,0,2,2,NaN,0.0
2019,,54,0,0,0,54,54,NaN,0.0
2019,ALL,59,0,5,0,54,54,0.0,0.0
2019,Homeowners,4,0,4,0,0,0,0.0,0.0
2019,Individual Private Passenger,1,0,1,0,0,0,0.0,0.0
2020,,57,0,0,0,57,57,NaN,0.0
2020,ALL,84,1,11,13,59,72,0.08333333333333333,0.011904761904761904
2020,Commercial Multi-Peril,1,0,1,0,0,0,0.0,0.0
2020,Group,2,0,0,0,2,2,NaN,0.0
2020,Homeowners,1,1,0,0,0,0,1.0,1.0
2020,Individual,23,0,10,13,0,13,0.0,0.0
2021,,57,0,0,0,57,57,NaN,0.0
2021,A & H,10,0,0,10,0,10,NaN,0.0
2021,ALL,212,16,48,75,73,148,0.25,0.07547169811320754
2021,Dwelling Fire,2,0,0,0,2,2,NaN,0.0
2021,Group,5,0,3,2,0,2,0.0,0.0
2021,Homeowners,2,0,0,0,2,2,NaN,0.0
2021,Individual,135,15,45,63,12,75,0.25,0.1111111111111111
2021,Individual Private Passenger,1,1,0,0,0,0,1.0,1.0
2022,,518,18,22,21,457,478,0.45,0.03474903474903475
2022,A & H,2180,640,508,167,865,1032,0.5574912891986062,0.29357798165137616
2022,ALL,10579,2166,3088,688,4637,5325,0.4122573277502855,0.20474525002363173
2022,Auto Warranty,1,0,0,0,1,1,NaN,0.0
2022,Builder's Risk,1,0,1,0,0,0,0.0,0.0
2022,Business Interruption,1,0,0,0,1,1,NaN,0.0
2022,Commercial,100,28,45,5,22,27,0.3835616438356164,0.28
2022,Commercial Multi-Peril,113,27,67,4,15,19,0.2872340425531915,0.23893805309734514
2022,Condo/Townhome,45,6,23,3,13,16,0.20689655172413793,0.13333333333333333
2022,Credit Life,2,0,2,0,0,0,0.0,0.0
2022,Directors & Officers,1,0,1,0,0,0,0.0,0.0
2022,Dwelling Fire,20,6,5,0,9,9,0.5454545454545454,0.3
2022,Extended Warranty,6,0,0,0,6,6,NaN,0.0
2022,Extended Warranty & Service Contracts,22,0,8,0,14,14,0.0,0.0
