state,year,count
AK,1988,63
AK,1989,33
AK,1990,50
AK,1991,34
AK,1992,25
AK,1993,41
AK,1994,40
AK,1995,30
AK,1996,25
AK,1997,21
AK,1998,21
AK,1999,19
AK,2000,25
AK,2001,35
AK,2002,26
AK,2003,37
AK,2004,33
AK,2005,32
AK,2006,26
AK,2007,16
AK,2008,29
AK,2009,16
AK,2010,15
AK,2011,23
AK,2012,18
AK,2013,12
AK,2014,26
AK,2015,25
AK,2016,13
AK,2017,22
AK,2018,18
AK,2019,16
AK,2020,31
AK,2021,19
AK,2022,24
AK,2023,17
AK,2024,20
AK,2025,21
AL,1988,309
AL,1989,242
AL,1990,302
AL,1991,367
AL,1992,307
AL,1993,272
AL,1994,341
AL,1995,441
AL,1996,499
AL,1997,569
AL,1998,413
AL,1999,444
AL,2000,404
AL,2001,339
AL,2002,351
AL,2003,322
AL,2004,286
AL,2005,283
AL,2006,323
AL,2007,251
AL,2008,240
AL,2009,199
AL,2010,197
AL,2011,213
AL,2012,292
AL,2013,182
AL,2014,187
AL,2015,146
AL,2016,155
AL,2017,162
AL,2018,147
AL,2019,148
AL,2020,166
AL,2021,184
AL,2022,196
AL,2023,154
AL,2024,174
AL,2025,213
AR,1988,148
AR,1989,133
AR,1990,117
AR,1991,109
AR,1992,105
AR,1993,89
AR,1994,119
AR,1995,103
AR,1996,109
AR,1997,82
AR,1998,74
AR,1999,78
AR,2000,88
AR,2001,83
AR,2002,102
AR,2003,76
AR,2004,85
AR,2005,71
AR,2006,73
AR,2007,85
AR,2008,82
AR,2009,82
AR,2010,74
AR,2011,96
AR,2012,100
AR,2013,100
AR,2014,114
AR,2015,89
AR,2016,89
AR,2017,64
AR,2018,86
AR,2019,101
AR,2020,86
AR,2021,95
AR,2022,71
AR,2023,111
AR,2024,93
AR,2025,134
AZ,1988,69
AZ,1989,84
AZ,1990,89
AZ,1991,88
AZ,1992,75
AZ,1993,100
AZ,1994,83
AZ,1995,74
AZ,1996,105
AZ,1997,101
AZ,1998,84
AZ,1999,108
AZ,2000,110
AZ,2001,121
AZ,2002,134
AZ,2003,135
AZ,2004,135
AZ,2005,129
AZ,2006,131
AZ,2007,133
AZ,2008,114
AZ,2009,165
AZ,2010,137
AZ,2011,165
AZ,2012,178
AZ,2013,165
AZ,2014,165
AZ,2015,122
AZ,2016,135
AZ,2017,127
AZ,2018,141
