state,year,origin_code,origin_label,count
AK,1988,1,Original,34
AK,1988,2,Removed from state court,27
AK,1988,4,Reinstated/reopened,2
AK,1989,1,Original,21
AK,1989,2,Removed from state court,9
AK,1989,4,Reinstated/reopened,1
AK,1989,5,Transferred from another district (28 USC 1404),2
AK,1990,1,Original,27
AK,1990,2,Removed from state court,22
AK,1990,4,Reinstated/reopened,1
AK,1991,1,Original,22
AK,1991,2,Removed from state court,11
AK,1991,4,Reinstated/reopened,1
AK,1992,1,Original,19
AK,1992,2,Removed from state court,5
AK,1992,5,Transferred from another district (28 USC 1404),1
AK,1993,1,Original,23
AK,1993,2,Removed from state court,17
AK,1993,4,Reinstated/reopened,1
AK,1994,1,Original,31
AK,1994,2,Removed from state court,9
AK,1995,1,Original,24
AK,1995,2,Removed from state court,6
AK,1996,1,Original,10
AK,1996,2,Removed from state court,14
AK,1996,4,Reinstated/reopened,1
AK,1997,1,Original,10
AK,1997,2,Removed from state court,10
AK,1997,4,Reinstated/reopened,1
AK,1998,1,Original,9
AK,1998,2,Removed from state court,11
AK,1998,3,Remanded from appellate,1
AK,1999,1,Original,9
AK,1999,2,Removed from state court,7
AK,1999,3,Remanded from appellate,2
AK,1999,5,Transferred from another district (28 USC 1404),1
AK,2000,1,Original,7
AK,2000,2,Removed from state court,17
AK,2000,4,Reinstated/reopened,1
AK,2001,1,Original,22
AK,2001,2,Removed from state court,13
AK,2002,1,Original,11
AK,2002,2,Removed from state court,13
AK,2002,4,Reinstated/reopened,1
AK,2002,5,Transferred from another district (28 USC 1404),1
AK,2003,1,Original,19
AK,2003,2,Removed from state court,16
AK,2003,4,Reinstated/reopened,2
AK,2004,1,Original,21
AK,2004,2,Removed from state court,10
AK,2004,3,Remanded from appellate,1
AK,2004,4,Reinstated/reopened,1
AK,2005,1,Original,16
AK,2005,2,Removed from state court,14
AK,2005,3,Remanded from appellate,1
AK,2005,4,Reinstated/reopened,1
AK,2006,1,Original,17
AK,2006,2,Removed from state court,7
AK,2006,4,Reinstated/reopened,2
AK,2007,1,Original,11
AK,2007,2,Removed from state court,3
AK,2007,4,Reinstated/reopened,2
AK,2008,1,Original,18
AK,2008,2,Removed from state court,10
AK,2008,4,Reinstated/reopened,1
AK,2009,1,Original,8
AK,2009,2,Removed from state court,7
AK,2009,8,Other / subsequent codebook variant,1
AK,2010,1,Original,8
AK,2010,2,Removed from state court,7
AK,2011,1,Original,11
AK,2011,2,Removed from state court,11
AK,2011,4,Reinstated/reopened,1
AK,2012,1,Original,14
AK,2012,2,Removed from state court,4
AK,2013,1,Original,5
AK,2013,2,Removed from state court,6
AK,2013,4,Reinstated/reopened,1
AK,2014,1,Original,16
AK,2014,2,Removed from state court,9
AK,2014,4,Reinstated/reopened,1
AK,2015,1,Original,14
AK,2015,2,Removed from state court,9
AK,2015,4,Reinstated/reopened,1
AK,2015,5,Transferred from another district (28 USC 1404),1
AK,2016,1,Original,8
AK,2016,2,Removed from state court,5
AK,2017,1,Original,14
AK,2017,2,Removed from state court,8
AK,2018,1,Original,9
AK,2018,2,Removed from state court,9
AK,2019,1,Original,12
AK,2019,2,Removed from state court,3
AK,2019,3,Remanded from appellate,1
AK,2020,1,Original,20
AK,2020,2,Removed from state court,11
AK,2021,1,Original,14
AK,2021,2,Removed from state court,5
AK,2022,1,Original,9
AK,2022,2,Removed from state court,14
AK,2022,4,Reinstated/reopened,1
AK,2023,1,Original,10
AK,2023,2,Removed from state court,6
AK,2023,5,Transferred from another district (28 USC 1404),1
AK,2024,1,Original,10
AK,2024,2,Removed from state court,10
AK,2025,1,Original,13
AK,2025,2,Removed from state court,7
AK,2025,3,Remanded from appellate,1
AL,1988,1,Original,159
AL,1988,2,Removed from state court,131
AL,1988,3,Remanded from appellate,3
AL,1988,4,Reinstated/reopened,12
AL,1988,5,Transferred from another district (28 USC 1404),4
AL,1989,1,Original,130
AL,1989,2,Removed from state court,102
AL,1989,3,Remanded from appellate,4
AL,1989,4,Reinstated/reopened,3
AL,1989,5,Transferred from another district (28 USC 1404),3
AL,1990,1,Original,141
AL,1990,2,Removed from state court,145
AL,1990,3,Remanded from appellate,3
AL,1990,4,Reinstated/reopened,12
AL,1990,5,Transferred from another district (28 USC 1404),1
AL,1991,1,Original,169
AL,1991,2,Removed from state court,185
AL,1991,3,Remanded from appellate,4
AL,1991,4,Reinstated/reopened,6
AL,1991,5,Transferred from another district (28 USC 1404),3
AL,1992,1,Original,124
AL,1992,2,Removed from state court,169
AL,1992,4,Reinstated/reopened,12
AL,1992,5,Transferred from another district (28 USC 1404),2
AL,1993,1,Original,126
AL,1993,2,Removed from state court,135
AL,1993,3,Remanded from appellate,4
AL,1993,4,Reinstated/reopened,2
AL,1993,5,Transferred from another district (28 USC 1404),5
AL,1994,1,Original,130
AL,1994,2,Removed from state court,199
AL,1994,3,Remanded from appellate,2
AL,1994,4,Reinstated/reopened,7
AL,1994,5,Transferred from another district (28 USC 1404),3
AL,1995,-8,Missing / not coded,1
AL,1995,1,Original,175
AL,1995,2,Removed from state court,259
AL,1995,4,Reinstated/reopened,5
AL,1995,5,Transferred from another district (28 USC 1404),1
AL,1996,1,Original,204
AL,1996,2,Removed from state court,284
AL,1996,4,Reinstated/reopened,6
AL,1996,5,Transferred from another district (28 USC 1404),3
AL,1996,6,Multidistrict litigation transfer (28 USC 1407),2
AL,1997,1,Original,177
AL,1997,2,Removed from state court,380
AL,1997,4,Reinstated/reopened,6
AL,1997,5,Transferred from another district (28 USC 1404),3
AL,1997,6,Multidistrict litigation transfer (28 USC 1407),2
AL,1997,8,Other / subsequent codebook variant,1
AL,1998,1,Original,166
AL,1998,2,Removed from state court,233
AL,1998,4,Reinstated/reopened,9
AL,1998,5,Transferred from another district (28 USC 1404),5
AL,1999,1,Original,171
AL,1999,2,Removed from state court,258
AL,1999,3,Remanded from appellate,1
AL,1999,4,Reinstated/reopened,10
AL,1999,5,Transferred from another district (28 USC 1404),3
AL,1999,8,Other / subsequent codebook variant,1
AL,2000,1,Original,157
AL,2000,2,Removed from state court,227
AL,2000,4,Reinstated/reopened,15
AL,2000,5,Transferred from another district (28 USC 1404),3
AL,2000,6,Multidistrict litigation transfer (28 USC 1407),2
AL,2001,1,Original,120
AL,2001,2,Removed from state court,194
AL,2001,3,Remanded from appellate,2
AL,2001,4,Reinstated/reopened,18
AL,2001,5,Transferred from another district (28 USC 1404),5
AL,2002,1,Original,149
AL,2002,2,Removed from state court,176
AL,2002,3,Remanded from appellate,2
AL,2002,4,Reinstated/reopened,15
AL,2002,5,Transferred from another district (28 USC 1404),4
AL,2002,6,Multidistrict litigation transfer (28 USC 1407),2
AL,2002,8,Other / subsequent codebook variant,3
AL,2003,1,Original,160
AL,2003,2,Removed from state court,152
AL,2003,4,Reinstated/reopened,8
AL,2003,5,Transferred from another district (28 USC 1404),1
AL,2003,8,Other / subsequent codebook variant,1
AL,2004,1,Original,132
AL,2004,2,Removed from state court,144
AL,2004,3,Remanded from appellate,1
AL,2004,4,Reinstated/reopened,6
AL,2004,5,Transferred from another district (28 USC 1404),3
AL,2005,1,Original,149
AL,2005,2,Removed from state court,122
AL,2005,4,Reinstated/reopened,8
AL,2005,5,Transferred from another district (28 USC 1404),3
AL,2005,9,Other / subsequent codebook variant,1
AL,2006,1,Original,167
AL,2006,2,Removed from state court,136
AL,2006,4,Reinstated/reopened,14
AL,2006,5,Transferred from another district (28 USC 1404),6
AL,2007,1,Original,149
AL,2007,2,Removed from state court,95
AL,2007,3,Remanded from appellate,1
AL,2007,4,Reinstated/reopened,4
AL,2007,5,Transferred from another district (28 USC 1404),2
AL,2008,1,Original,160
AL,2008,2,Removed from state court,69
AL,2008,4,Reinstated/reopened,9
AL,2008,5,Transferred from another district (28 USC 1404),2
AL,2009,1,Original,128
AL,2009,2,Removed from state court,65
AL,2009,4,Reinstated/reopened,6
AL,2010,1,Original,119
AL,2010,2,Removed from state court,72
AL,2010,4,Reinstated/reopened,6
AL,2011,1,Original,146
AL,2011,2,Removed from state court,61
AL,2011,4,Reinstated/reopened,4
AL,2011,5,Transferred from another district (28 USC 1404),1
AL,2011,8,Other / subsequent codebook variant,1
AL,2012,1,Original,193
AL,2012,2,Removed from state court,92
AL,2012,4,Reinstated/reopened,4
AL,2012,5,Transferred from another district (28 USC 1404),3
AL,2013,1,Original,87
AL,2013,2,Removed from state court,86
AL,2013,4,Reinstated/reopened,3
AL,2013,5,Transferred from another district (28 USC 1404),5
AL,2013,8,Other / subsequent codebook variant,1
AL,2014,1,Original,118
AL,2014,2,Removed from state court,69
AL,2015,1,Original,97
AL,2015,2,Removed from state court,45
AL,2015,4,Reinstated/reopened,2
AL,2015,5,Transferred from another district (28 USC 1404),1
AL,2015,6,Multidistrict litigation transfer (28 USC 1407),1
AL,2016,1,Original,104
AL,2016,2,Removed from state court,48
AL,2016,4,Reinstated/reopened,2
AL,2016,5,Transferred from another district (28 USC 1404),1
AL,2017,1,Original,98
AL,2017,2,Removed from state court,59
AL,2017,4,Reinstated/reopened,4
AL,2017,5,Transferred from another district (28 USC 1404),1
AL,2018,1,Original,101
AL,2018,2,Removed from state court,43
AL,2018,4,Reinstated/reopened,3
AL,2019,1,Original,82
AL,2019,2,Removed from state court,62
AL,2019,4,Reinstated/reopened,3
