year,line,total_complaints,n_companies,median_index,market_share_covered,total_premium
2018,auto,6,20,0.0,0.7940000000000002,827699095.0
2018,group_health,2,20,0.0,0.9250000000000003,1591912817.0
2018,homeowners,1,20,0.0,0.7660000000000002,296394653.0
2018,individual_health,13,20,0.0,0.8970000000000001,1043941300.0
2019,auto,4,20,0.0,0.804,890712450.0
2019,group_health,7,20,0.0,0.9210000000000003,1671794816.0
2019,homeowners,3,20,0.0,0.7610000000000001,322789234.0
2019,individual_health,11,20,0.0,0.8880000000000001,1054899504.0
2020,auto,4,20,0.0,0.8300000000000001,942645093.0
2020,group_health,1,20,0.0,0.9000000000000001,1692122008.0
2020,homeowners,1,20,0.0,0.7500000000000001,348091832.0
2020,individual_health,7,20,0.0,0.9000000000000001,1173228840.0
