year,line,naic_code,company_name,premium,complaints,complaint_index,source_file
2009,annuity,62944,AXA Equitable Life Ins Co,90472479.0,1,0.68,2009_annuity.pdf
2009,annuity,90611,Allianz Life Ins Co Of N Amer,134253214.0,6,2.76,2009_annuity.pdf
2009,annuity,60186,Allstate Life Ins Co,13319529.0,2,9.28,2009_annuity.pdf
2009,annuity,92738,American Equity Invest Life Ins Co,89183325.0,2,1.39,2009_annuity.pdf
2009,annuity,60631,"American Investors Life Insurance Company, Inc.",,1,,2009_annuity.pdf
2009,annuity,60631,"American Investors Life Insurance Company, Inc.",,1,,2009_annuity.pdf
2009,annuity,60739,American Natl Ins Co,43817978.0,1,1.41,2009_annuity.pdf
2009,annuity,61999,Americo Fin Life & Ann Ins Co,1333849.0,1,46.35,2009_annuity.pdf
2009,annuity,93661,Annuity Investors Life Ins Co,6294783.0,1,9.82,2009_annuity.pdf
2009,annuity,61689,Aviva Life & Ann Co,128416255.0,1,0.48,2009_annuity.pdf
2009,annuity,61263,Bankers Life & Cas Co,30849720.0,11,22.04,2009_annuity.pdf
2009,annuity,60682,Conseco Ins Co,836997.0,3,,2009_annuity.pdf
2009,annuity,62510,Equitrust Life Ins Co,11692821.0,2,10.57,2009_annuity.pdf
2009,annuity,91642,Forethought Life Ins Co,21176280.0,2,5.84,2009_annuity.pdf
2009,annuity,71129,Fort Dearborn Life Ins Co,10332796.0,3,17.95,2009_annuity.pdf
2009,annuity,65536,Genworth Life & Ann Ins Co,11370912.0,2,10.87,2009_annuity.pdf
2009,annuity,71153,Hartford Life & Ann Ins Co,1170481.0,2,105.63,2009_annuity.pdf
2009,annuity,93777,Household Life Insurance Company,,1,,2009_annuity.pdf
2009,annuity,80942,ING USA Ann & LIfe Ins Co,125053824.0,3,1.48,2009_annuity.pdf
2009,annuity,65056,Jackson Natl Life Ins Co,389255990.0,1,0.16,2009_annuity.pdf
2009,annuity,65838,John Hancock Life Ins Co (USA),167309485.0,1,0.37,2009_annuity.pdf
2009,annuity,90557,Kemper Investors Life Ins Co,1729874.0,1,35.74,2009_annuity.pdf
2009,annuity,65676,Lincoln Natl Life Ins Co,386525604.0,3,0.48,2009_annuity.pdf
2009,annuity,65935,Massachusetts Mut Life Ins Co,72740680.0,1,0.85,2009_annuity.pdf
2009,annuity,87726,Metlife Ins Co of CT,23148085.0,1,2.67,2009_annuity.pdf
2009,annuity,66850,National Western Life Ins Co,21936610.0,1,2.82,2009_annuity.pdf
2009,annuity,66869,Nationwide Life Ins Co,3598174.0,1,17.18,2009_annuity.pdf
2009,annuity,66915,New York Life Ins Co,314595.0,1,,2009_annuity.pdf
2009,annuity,63274,OM Fin Life Ins Co,26499942.0,2,4.67,2009_annuity.pdf
2009,annuity,67172,Ohio Natl Life Ins Co,35892671.0,1,1.72,2009_annuity.pdf
2009,annuity,67466,Pacific Life Ins Co,150525473.0,3,1.23,2009_annuity.pdf
2009,annuity,79227,Pruco Life Ins Co,72226595.0,2,1.71,2009_annuity.pdf
2009,annuity,86630,Prudential Ann Life Assur Corp,186402605.0,1,0.33,2009_annuity.pdf
2009,annuity,68284,Pyramid Life Insurance Company,,1,,2009_annuity.pdf
2009,annuity,65005,RiverSource Life Ins Co,132275780.0,1,0.47,2009_annuity.pdf
2009,annuity,79065,Sun Life Assur Co Of Canada US,60241486.0,1,1.03,2009_annuity.pdf
2009,annuity,60142,TIAA Cref Life Ins Co,2189397.0,1,28.24,2009_annuity.pdf
2009,annuity,86231,Transamerica Life Ins Co,135948714.0,3,1.36,2009_annuity.pdf
2009,annuity,70238,Variable Ann Life Ins Co,197712294.0,2,0.63,2009_annuity.pdf
2009,annuity,70319,Washington Natl Ins Co,123227.0,1,,2009_annuity.pdf
2009,annuity,70432,Western Natl Life Ins Co,111030850.0,3,1.67,2009_annuity.pdf
2009,auto,34789,21st Century Centennial Insurance Company,8220803.0,4,1.55,2009_auto.pdf
2009,auto,12963,21st Century Insurance Company,1798191.0,4,7.08,2009_auto.pdf
2009,auto,36587,21st Century National Insurance Company,6945520.0,4,1.83,2009_auto.pdf
