year,line,total_complaints,total_premium,n_companies,median_index
2009,annuity,79,2897203374.0,41,1.7149999999999999
2009,auto,858,2599754297.0,129,1.26
2009,health,1504,6972032962.0,178,1.54
2009,homeowners,639,1300853092.0,103,0.9299999999999999
2009,life,469,1871228459.0,142,1.415
2010,annuity,37,1941997014.0,24,4.8
2010,auto,841,2646113589.0,115,1.19
2010,health,1265,8500702997.0,135,1.96
2010,homeowners,522,1337856099.0,76,1.2650000000000001
2010,life,371,1990904981.0,119,1.455
2011,annuity,37,1983669093.0,24,4.28
2011,auto,830,2678316600.0,126,1.2650000000000001
2011,health,1068,7967946261.0,135,2.15
2011,homeowners,627,1422890767.0,94,1.11
2011,life,379,1753917232.0,126,1.8
2012,annuity,22,2842202469.0,17,5.405
2012,auto,507,2580979736.0,117,1.26
2012,health,309,7822838435.0,85,2.89
2012,homeowners,270,1395870554.0,70,1.245
2012,life,154,1602015274.0,72,2.6
2013,annuity,9,587821387.0,8,27.1
2013,auto,299,2589851098.0,96,1.73
2013,health,170,7506627996.0,57,4.7
2013,homeowners,116,1264177477.0,46,2.245
2013,life,67,967239276.0,34,3.9899999999999998
2014,annuity,7,769722155.0,6,13.08961242648875
2014,auto,210,2525360597.0,67,1.8267959370201834
2014,health,251,7935973958.0,39,2.4729904970071397
2014,homeowners,72,1036290240.0,28,2.4506801043545003
2014,life,109,1089833613.0,50,2.9340397980873907
2015,annuity,4,554846704.0,4,27.825
2015,auto,337,2868138040.0,92,1.1
2015,health,774,6792823711.0,70,1.4100000000000001
2015,homeowners,120,1501016301.0,46,2.04
2015,life,109,1089833613.0,50,2.93
2016,annuity,13,578778553.0,8,7.68
2016,auto,454,3486036613.0,106,1.75
2016,health,559,6816703572.0,62,1.4649999999999999
2016,homeowners,115,1447734047.0,39,1.745
2016,life,190,1625957387.0,61,2.13
2017,annuity,13,1036841446.0,8,4.8
2017,auto,300,3341092926.0,84,2.21
2017,health,567,6717249303.0,61,1.51
2017,homeowners,97,1420695295.0,44,1.98
2017,life,151,1262994177.0,57,1.85
2018,annuity,12,1447073662.0,10,4.18
2018,auto,321,3788708760.0,87,1.975
2018,health,429,7468652051.0,65,1.5
2018,homeowners,100,1798940028.0,46,2.1
2018,life,120,1835511634.0,60,4.525
2019,annuity,12,1363756900.0,10,5.375
2019,auto,350,3930825891.0,88,1.72
2019,health,284,6487130708.0,67,2.04
2019,homeowners,115,1597235958.0,42,2.15
2019,life,142,1463933928.0,63,3.14
2020,annuity,12,921882411.0,10,8.37
2020,auto,230,3764796018.0,78,2.0700000000000003
2020,health,194,7142579748.0,54,3.03
2020,homeowners,101,1706773959.0,40,1.85
2020,life,103,1380036048.0,59,3.0700000000000003
2021,annuity,7,497695603.0,6,16.42
2021,auto,336,4073084851.0,89,2.07
2021,health,216,9527110004.0,58,2.815
2021,homeowners,156,1819818801.0,40,1.545
2021,life,109,1596518181.0,56,2.2649999999999997
2022,annuity,12,1319649969.0,8,4.74
2022,auto,289,4242931770.0,73,1.9
2022,health,133,6943012171.0,40,2.68
2022,homeowners,147,2140559768.0,50,1.7349999999999999
2022,life,78,1279953747.0,48,5.9
2023,annuity,16,2340502633.0,12,5.91
2023,auto,345,4935306281.0,83,2.03
2023,health,224,6280565459.0,48,2.93
2023,homeowners,208,2293986590.0,46,1.4449999999999998
2023,life,81,1789773955.0,49,4.08
2024,annuity,11,2322202425.0,8,3.9350000000000005
2024,auto,320,5172899465.0,75,2.585
2024,health,166,7454709547.0,41,2.95
2024,homeowners,206,2685464859.0,51,1.87
2024,life,74,1391184978.0,41,4.04
