year,line,naic_code,company_name,market_share,complaints,complaint_index,complaint_index_prior_1,complaint_index_prior_2,source_file
2020,annuity,90611,Allianz Life Insurance Company Of North America,0.0431,1,0.77,1.15,2.65,2020.pdf
2020,annuity,92738,American Equity Investment Life Insurance Company,0.0152,3,6.56,0.79,0.0,2020.pdf
2020,annuity,60488,American General Life Insurance Company,0.028399999999999998,2,2.35,1.72,0.57,2020.pdf
2020,annuity,61689,Athene Annuity & Life Company,0.0366,0,0.0,1.93,1.2,2020.pdf
2020,annuity,87726,Brighthouse Life Insurance Company,0.0297,2,2.24,,,2020.pdf
2020,annuity,62944,Equitable Financial Life Insurance Company,0.025,1,1.34,2.29,0.0,2020.pdf
2020,annuity,63088,Farm Bureau Life Insurance Company,0.0226,5,7.38,,0.0,2020.pdf
2020,annuity,63274,Fidelity & Guaranty Life Insurance Company,0.021,0,0.0,1.12,0.0,2020.pdf
2020,annuity,91642,Forethought Life Insurance Company,0.027000000000000003,1,1.23,0.77,0.82,2020.pdf
2020,annuity,65056,Jackson National Life Insurance Company,0.0789,0,0.0,,0.27,2020.pdf
2020,annuity,65676,Lincoln National Life Insurance Company,0.06509999999999999,0,0.0,,0.4,2020.pdf
2020,annuity,65935,Massachusetts Mutual Life Insurance Company,0.0184,1,1.82,,,2020.pdf
2020,annuity,66869,Nationwide Life Insurance Company,0.0165,0,0.0,,10.06,2020.pdf
2020,annuity,91596,New York Life Insurance & Annuity Corporation,0.040999999999999995,0,0.0,1.03,0.0,2020.pdf
2020,annuity,66974,North American Company for Life & Health Insurance,0.041299999999999996,0,0.0,0.69,1.3,2020.pdf
2020,annuity,67466,Pacific Life Insurance Company,0.02,0,0.0,,0.0,2020.pdf
2020,annuity,79227,Pruco Life Insurance Company,0.020099999999999996,0,0.0,,0.55,2020.pdf
2020,annuity,65005,RiverSource Life Insurance Company,0.024700000000000003,0,0.0,,0.85,2020.pdf
2020,annuity,62952,SILAC Insurance Company,0.039599999999999996,0,0.0,,,2020.pdf
2020,annuity,68675,Security Benefit Life Insurance Company,0.063,1,0.53,0.84,2.61,2020.pdf
2020,annuity,69345,Teachers Insurance & Annuity Association Of America,0.0373,0,0.0,,0.0,2020.pdf
2020,auto,33154,Alliance Indemnity Company,0.0105,1,0.17,,,2020.pdf
2020,auto,42579,Allied Property & Casualty Insurance Company,0.0151,8,0.93,0.38,0.64,2020.pdf
2020,auto,29688,Allstate Fire & Casualty Insurance Company,0.044800000000000006,27,1.06,1.04,1.2,2020.pdf
2020,auto,10386,American Family Insurance Company,0.036699999999999997,18,0.86,0.76,0.93,2020.pdf
2020,auto,19275,American Family Mutual Insurance Company,0.064,30,0.82,0.64,0.84,2020.pdf
2020,auto,18988,Auto Owners Insurance Company,0.0077,15,3.44,2.05,1.51,2020.pdf
2020,auto,13773,Farm Bureau Property & Casualty Insurance Company,0.068,12,0.31,0.64,0.62,2020.pdf
2020,auto,21628,Farmers Insurance Company Incorporated,0.0464,16,0.6,1.29,0.77,2020.pdf
2020,auto,14138,GEICO Advantage Insurance Company,0.0276,20,1.27,0.77,1.2,2020.pdf
2020,auto,14139,GEICO Choice Insurance Company,0.0176,18,1.79,1.1,0.69,2020.pdf
2020,auto,12966,Key Insurance Company,0.0086,18,3.68,4.07,4.77,2020.pdf
2020,auto,23787,Nationwide Mutual Insurance Company,0.010700000000000001,5,0.82,,,2020.pdf
2020,auto,16322,Progressive Direct Insurance Company,0.0623,30,0.84,1.1,1.15,2020.pdf
2020,auto,42919,Progressive Northwestern Insurance Company,0.07980000000000001,32,0.7,0.73,0.91,2020.pdf
2020,auto,25405,Safe Auto Insurance Company,0.0023,10,7.53,,,2020.pdf
2020,auto,24740,Safeco Insurance Company Of America,0.0163,8,0.86,0.79,1.0,2020.pdf
2020,auto,23388,Shelter Mutual Insurance Company,0.0337,11,0.57,0.88,1.06,2020.pdf
2020,auto,19070,Standard Fire Insurance Company,0.0317,9,0.5,0.93,0.83,2020.pdf
2020,auto,25143,State Farm Fire & Casualty Company,0.0089,12,2.36,1.38,1.0,2020.pdf
2020,auto,25178,State Farm Mutual Automobile Insurance Company,0.1673,80,0.84,0.74,0.69,2020.pdf
2020,auto,42749,Traders Insurance Company,0.0115,13,1.98,2.64,3.28,2020.pdf
2020,auto,25968,USAA Casualty Insurance Company,0.0168,9,0.94,0.84,0.69,2020.pdf
2020,auto,18600,USAA General Indemnity Company,0.0154,13,1.48,0.39,0.64,2020.pdf
2020,auto,25941,United Services Automobile Association,0.0218,12,0.96,0.55,0.41,2020.pdf
2020,health,78700,Aetna Health & Life Insurance Company,0.0053,1,0.8,,,2020.pdf
2020,health,12321,American Continental Insurance Company,0.006,0,0.0,0.0,0.0,2020.pdf
2020,health,60380,American Family Life Assurance Company of Columbus,0.0276,9,1.38,0.58,0.45,2020.pdf
2020,health,61263,Bankers Life & Casualty Company,0.0072,0,0.0,0.34,0.0,2020.pdf
2020,health,47171,Blue Cross Blue Shield of Kansas City,0.032,8,1.06,1.31,0.88,2020.pdf
2020,health,70729,Blue Cross Blue Shield of Kansas Incorporated,0.3557,59,0.7,0.76,0.74,2020.pdf
