year,line,total_complaints,n_companies,median_index,market_share_covered
2020,annuity,17,21,0.0,0.7145000000000001
2020,auto,427,24,0.895,0.8254999999999999
2020,health,177,24,0.745,0.7394
2020,homeowners,183,20,0.785,0.7701
2020,life,57,20,0.41500000000000004,0.6031000000000002
2020,long_term_care,85,20,0.0,0.9017999999999999
2021,annuity,10,20,0.0,0.6861
2021,auto,471,24,0.79,0.8198
2021,health,192,23,0.7,0.6794
2021,homeowners,212,20,0.8,0.7789000000000001
2021,life,69,21,0.31,0.6185
2021,long_term_care,54,20,0.335,0.8833000000000001
2022,annuity,18,19,0.53,0.6600000000000003
2022,auto,606,20,0.695,0.8200000000000003
2022,health,377,20,0.7050000000000001,0.7200000000000002
2022,homeowners,310,20,0.815,0.79
2022,life,51,20,0.25,0.5800000000000002
2022,long_term_care,98,20,0.7,0.8800000000000003
2023,annuity,24,20,0.555,0.6500000000000002
2023,auto,674,26,0.995,0.8400000000000003
2023,health,302,21,0.0,0.9600000000000002
2023,homeowners,302,21,0.87,0.7800000000000002
2023,life,68,21,0.32,0.6000000000000001
2023,long_term_care,82,20,0.12,0.8700000000000003
2024,annuity,28,20,0.14,0.6400000000000002
2024,auto,811,25,1.3,0.8650000000000002
2024,health,550,23,1.41,0.5516000000000001
2024,homeowners,500,21,0.99,0.8200000000000001
2024,life,85,22,0.25,0.6090000000000002
2024,long_term_care,56,19,0.54,0.8800000000000003
