state,year,line,n_companies,total_complaints,total_premium
LA,2015,accident_health,260,779,1658433310.0
LA,2016,accident_health,288,715,1925951284.0
LA,2017,accident_health,301,482,2115618948.0
LA,2018,accident_health,305,319,2082903574.0
LA,2019,accident_health,326,260,1992563921.0
LA,2020,accident_health,323,201,2160410320.0
LA,2021,accident_health,328,246,2229249338.0
LA,2022,accident_health,305,286,2339348909.0
LA,2023,accident_health,130,268,7020436172.0
LA,2024,accident_health,116,302,8511351077.0
LA,2015,auto,116,1167,3807399847.0
LA,2016,auto,149,1109,4136223894.0
LA,2017,auto,144,979,4506182776.0
LA,2018,auto,135,927,4822694720.0
LA,2019,auto,135,930,4887096371.0
LA,2020,auto,137,707,4748431377.0
LA,2021,auto,138,833,4834130159.0
LA,2022,auto,149,859,4963963006.0
LA,2023,auto,162,953,5479980753.0
LA,2024,auto,137,983,5965162142.0
LA,2015,homeowners,109,510,1851827403.0
LA,2016,homeowners,140,447,1856491147.0
LA,2017,homeowners,128,325,1862257789.0
LA,2018,homeowners,146,325,1907118804.0
LA,2019,homeowners,160,315,1954111564.0
LA,2020,homeowners,158,1091,2054662480.0
LA,2021,homeowners,187,4492,2094892042.0
LA,2022,homeowners,201,2508,2362227088.0
LA,2023,homeowners,190,969,2888354270.0
LA,2024,homeowners,160,735,3151480712.0
LA,2015,life,361,752,1746715392.0
LA,2016,life,378,377,1862741766.0
LA,2017,life,391,331,1908906812.0
LA,2018,life,403,318,1930170164.0
LA,2019,life,401,299,1950942427.0
LA,2020,life,391,286,1925148630.0
LA,2021,life,406,216,2098855316.0
LA,2022,life,385,245,2164292884.0
LA,2023,life,389,270,2157899039.0
LA,2024,life,382,287,2160560149.0
