state,year,line,company_id,company_name_raw,complaints,written_premium,complaint_ratio_per_million
MI,2022,accident_health,0021107,AAA LIFE INSURANCE COMPANY,1,2787969,0.36
MI,2022,accident_health,0001533,AETNA HEALTH AND LIFE INSURANCE COMPANY,5,8099139,0.62
MI,2022,accident_health,0001049,AETNA LIFE INSURANCE COMPANY,22,630327016,0.03
MI,2022,accident_health,0002174,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,8,359337226,0.02
MI,2022,accident_health,0083731,AMERICAN CONTINENTAL INSURANCE COMPANY,1,19437758,0.05
MI,2022,accident_health,0112481,AMERICAN FAMILY LIFE ASSURANCE COMPANY OF COLUMBUS,11,125542308,0.09
MI,2022,accident_health,0001069,AMERICAN HEALTH AND LIFE INSURANCE COMPANY,1,2975426,0.34
MI,2022,accident_health,0001097,AMERITAS LIFE INSURANCE CORP,12,22827936,0.53
MI,2022,accident_health,0001092,AUTO-OWNERS LIFE INSURANCE COMPANY,1,5090630,0.2
MI,2022,accident_health,0000799,AXIS INSURANCE COMPANY,1,1505629,0.66
MI,2022,accident_health,0016847,BANKERS FIDELITY LIFE INSURANCE COMPANY,1,6896286,0.15
MI,2022,accident_health,0100875,BLUE CROSS BLUE SHIELD OF MICHIGAN MUTUAL INSURANCE COMPANY,494,10132205582,0.05
MI,2022,accident_health,0000027,CHEROKEE INSURANCE COMPANY,2,68613324,0.03
MI,2022,accident_health,0001336,CIGNA HEALTH AND LIFE INSURANCE COMPANY,23,211440123,0.11
MI,2022,accident_health,0016146,CITIZENS SECURITY LIFE INSURANCE COMPANY,1,2322610,0.43
MI,2022,accident_health,0001150,CMFG LIFE INSURANCE COMPANY,2,32867577,0.06
MI,2022,accident_health,0001127,COLONIAL LIFE & ACCIDENT INSURANCE COMPANY,1,18512281,0.05
MI,2022,accident_health,0001131,COMBINED INSURANCE COMPANY OF AMERICA,7,15661893,0.45
MI,2022,accident_health,0001522,COMPANION LIFE INSURANCE COMPANY,1,35932836,0.03
MI,2022,accident_health,0079172,CONTINENTAL AMERICAN INSURANCE COMPANY,8,18975940,0.42
MI,2022,accident_health,0000286,CONTINENTAL CASUALTY COMPANY,5,13495938,0.37
MI,2022,accident_health,0020718,"CONTINENTAL LIFE INSURANCE COMPANY OF BRENTWOOD, TENNESSEE",5,40679644,0.12
MI,2022,accident_health,0001469,DEARBORN LIFE INSURANCE COMPANY,1,16310583,0.06
MI,2022,accident_health,0000962,"DELTA DENTAL PLAN OF MICHIGAN, INC.",27,747667223,0.04
