state,year,line,count
MI,2022,accident_health,1456
MI,2022,annuity,48
MI,2022,automobile,3646
MI,2022,fire_allied_cmp,37
MI,2022,homeowners,496
MI,2022,liability,9
MI,2022,life,224
MI,2023,accident_health,1649
MI,2023,annuity,63
MI,2023,automobile,1740
MI,2023,fire_allied_cmp,46
MI,2023,homeowners,778
MI,2023,liability,27
MI,2023,life,299
MI,2024,accident_health,1991
MI,2024,annuity,80
MI,2024,automobile,1864
MI,2024,fire_allied_cmp,66
MI,2024,homeowners,925
MI,2024,liability,24
MI,2024,life,316
