state,report_year,period_start,period_end,line,naic_code,company_name_raw,complaints_pooled,avg_annual_premium,avg_market_share,complaint_index,page
MO,2021,2018,2020,accident_health,20796,21st Century Premier Insurance Company,0,1785,0.0,0,52
MO,2021,2018,2020,accident_health,80985,4 Ever Life Insurance Company,0,3654098,0.0,0,52
MO,2021,2018,2020,accident_health,77879,5 Star Life Insurance Company,0,42977,0.0,0,52
MO,2021,2018,2020,accident_health,71854,AAA Life Insurance Company,0,1680856,0.0,0,52
MO,2021,2018,2020,accident_health,71471,Ability Insurance Company,1,1969170,0.0,171,52
MO,2021,2018,2020,accident_health,63444,Accendo Insurance Company,0,175287,0.0,0,52
MO,2021,2018,2020,accident_health,22667,Ace American Insurance Company,1,1795837,0.0,187,52
MO,2021,2018,2020,accident_health,12278,Advantica Insurance Company,0,3314811,0.0,0,52
MO,2021,2018,2020,accident_health,33898,Aegis Security Insurance Company,0,37477,0.0,0,52
MO,2021,2018,2020,accident_health,78700,Aetna Health & Life Insurance Company,1,4985966,0.001,67,52
MO,2021,2018,2020,accident_health,72052,Aetna Health Insurance Company,0,42532,0.0,0,52
MO,2021,2018,2020,accident_health,60054,Aetna Life Insurance Company,61,322527793,0.039,64,52
MO,2021,2018,2020,accident_health,82406,All Savers Insurance Company,0,102923288,0.012,0,52
MO,2021,2018,2020,accident_health,90611,Allianz Life Insurance Co Of North America,6,4514746,0.001,447,52
MO,2021,2018,2020,accident_health,64190,Allianz Life Insurance Company Of New York,0,5888,0.0,0,52
MO,2021,2018,2020,accident_health,60216,Amalgamated Life Insurance Company,0,292784,0.0,0,52
MO,2021,2018,2020,accident_health,19720,American Alternative Insurance Corporation,0,314883,0.0,0,52
MO,2021,2018,2020,accident_health,10111,American Bankers Insurance Company Of FL,0,1294,0.0,0,52
MO,2021,2018,2020,accident_health,60275,American Bankers Life Assurance Co Of FL,0,23570,0.0,0,52
MO,2021,2018,2020,accident_health,12321,American Continental Insurance Company,5,7900364,0.001,213,52
MO,2021,2018,2020,accident_health,60380,American Family Life Assurance Co Of Columbus,16,97310426,0.012,55,52
MO,2021,2018,2020,accident_health,19275,American Family Mutual Insurance Company,5,5411234,0.001,311,52
MO,2021,2018,2020,accident_health,98736,American Federated Life Insurance Company,0,1230099,0.0,0,52
MO,2021,2018,2020,accident_health,60410,American Fidelity Assurance Company,0,18960654,0.002,0,52
MO,2021,2018,2020,accident_health,69337,American Financial Security Life Insurance Co,1,122712,0.0,2739,52
MO,2021,2018,2020,accident_health,60488,American General Life Insurance Company,3,1769874,0.0,570,52
MO,2021,2018,2020,accident_health,60518,American Health & Life Insurance Company,0,1891414,0.0,0,52
MO,2021,2018,2020,accident_health,60534,American Heritage Life Insurance Company,2,15899201,0.002,42,52
MO,2021,2018,2020,accident_health,19380,American Home Assurance Company,0,1431,0.0,0,52
MO,2021,2018,2020,accident_health,60577,American Income Life Insurance Company,0,2005539,0.0,0,52
MO,2021,2018,2020,accident_health,60739,American National Insurance Company,0,944798,0.0,0,52
MO,2021,2018,2020,accident_health,71773,American National Life Ins Co Of TX,0,2080633,0.0,0,52
MO,2021,2018,2020,accident_health,80624,American Progressive Life & Health Ins Co,0,4601,0.0,0,52
MO,2021,2018,2020,accident_health,60801,American Public Life Ins Co,0,2268320,0.0,0,52
MO,2021,2018,2020,accident_health,67679,American Republic Corp Insurance Company,0,4039587,0.0,0,52
MO,2021,2018,2020,accident_health,60836,American Republic Insurance Company,2,9268575,0.001,73,52
MO,2021,2018,2020,accident_health,88366,American Retirement Life Insurance Company,1,1966038,0.0,171,52
MO,2021,2018,2020,accident_health,19704,American States Insurance Company,0,651,0.0,0,52
MO,2021,2018,2020,accident_health,60895,American United Life Insurance Company,0,2023978,0.0,0,52
MO,2021,2018,2020,accident_health,61999,Americo Financial Life & Annuity Ins Co,1,4758361,0.001,71,52
