state,report_year,year,line,metric,value,source_page
MO,2021,2017,all_other_ah,complaints_total,1018.0,6
MO,2021,2017,all_other_ah,pct_resolved_consumer_relief,0.381,6
MO,2021,2018,all_other_ah,complaints_total,994.0,6
MO,2021,2018,all_other_ah,pct_resolved_consumer_relief,0.34600000000000003,6
MO,2022,2018,all_other_ah,complaints_total,994.0,5
MO,2022,2018,all_other_ah,pct_resolved_consumer_relief,0.34600000000000003,6
MO,2021,2019,all_other_ah,complaints_total,874.0,6
MO,2021,2019,all_other_ah,pct_resolved_consumer_relief,0.406,6
MO,2022,2019,all_other_ah,complaints_total,874.0,5
MO,2022,2019,all_other_ah,pct_resolved_consumer_relief,0.406,6
MO,2023,2019,all_other_ah,complaints_total,874.0,6
MO,2023,2019,all_other_ah,pct_resolved_consumer_relief,0.406,7
MO,2021,2020,all_other_ah,complaints_total,729.0,6
MO,2021,2020,all_other_ah,pct_resolved_consumer_relief,0.401,6
MO,2022,2020,all_other_ah,complaints_total,729.0,5
MO,2022,2020,all_other_ah,pct_resolved_consumer_relief,0.401,6
MO,2023,2020,all_other_ah,complaints_total,729.0,6
MO,2023,2020,all_other_ah,pct_resolved_consumer_relief,0.401,7
MO,2021,2021,all_other_ah,complaints_total,610.0,6
MO,2021,2021,all_other_ah,pct_resolved_consumer_relief,0.408,6
MO,2022,2021,all_other_ah,complaints_total,609.0,5
MO,2022,2021,all_other_ah,pct_resolved_consumer_relief,0.41100000000000003,6
MO,2023,2021,all_other_ah,complaints_total,609.0,6
MO,2023,2021,all_other_ah,pct_resolved_consumer_relief,0.41100000000000003,7
MO,2022,2022,all_other_ah,complaints_total,631.0,5
MO,2022,2022,all_other_ah,pct_resolved_consumer_relief,0.475,6
MO,2023,2022,all_other_ah,complaints_total,631.0,6
MO,2023,2022,all_other_ah,pct_resolved_consumer_relief,0.47700000000000004,7
MO,2023,2023,all_other_ah,complaints_total,692.0,6
MO,2023,2023,all_other_ah,pct_resolved_consumer_relief,0.5,7
MO,2021,2017,hmo,complaints_total,29.0,6
MO,2021,2018,hmo,complaints_total,19.0,6
MO,2022,2018,hmo,complaints_total,19.0,5
MO,2022,2018,hmo,pct_resolved_consumer_relief,0.316,6
MO,2021,2019,hmo,complaints_total,12.0,6
MO,2022,2019,hmo,complaints_total,12.0,5
MO,2022,2019,hmo,pct_resolved_consumer_relief,,6
MO,2023,2019,hmo,complaints_total,12.0,6
MO,2021,2020,hmo,complaints_total,7.0,6
MO,2022,2020,hmo,complaints_total,7.0,5
MO,2022,2020,hmo,pct_resolved_consumer_relief,0.28600000000000003,6
MO,2023,2020,hmo,complaints_total,7.0,6
MO,2021,2021,hmo,complaints_total,8.0,6
MO,2022,2021,hmo,complaints_total,8.0,5
MO,2022,2021,hmo,pct_resolved_consumer_relief,0.375,6
MO,2023,2021,hmo,complaints_total,8.0,6
MO,2022,2022,hmo,complaints_total,7.0,5
MO,2022,2022,hmo,pct_resolved_consumer_relief,0.28600000000000003,6
MO,2023,2022,hmo,complaints_total,7.0,6
MO,2023,2023,hmo,complaints_total,6.0,6
MO,2021,2017,homeowners,complaints_total,318.0,6
MO,2021,2017,homeowners,pct_resolved_consumer_relief,0.22,6
MO,2021,2018,homeowners,complaints_total,247.0,6
