state,year,line,outcome_category,count,source_type,is_partial_year,notes
AK,1998,all_lines,,438,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
AK,1999,all_lines,,391,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
AK,2000,all_lines,,469,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
AK,2001,all_lines,,489,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
AK,2002,all_lines,,507,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
AK,2004,all_lines,,459,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
AK,2005,all_lines,,395,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
AK,2006,all_lines,,339,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
AK,2007,all_lines,,331,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
AK,2008,all_lines,,345,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
AK,2009,all_lines,,332,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
AK,2010,all_lines,,315,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
AK,2011,all_lines,,280,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
AK,2012,all_lines,,264,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
AK,2013,all_lines,,245,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
AK,2014,all_lines,,245,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
AK,2015,all_lines,,259,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
AK,2016,all_lines,,271,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
AK,2017,all_lines,,197,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
AK,2018,all_lines,,256,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
AK,2019,all_lines,,241,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
AK,2020,all_lines,,251,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
AK,2021,all_lines,,204,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
AK,2022,all_lines,,242,idrr,false,"NAIC IDRR Vol 1, data year 2022; complaints received, not closed"
AL,1998,all_lines,,252,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
AL,1999,all_lines,,670,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
AL,2000,all_lines,,11376,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
AL,2001,all_lines,,14975,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
AL,2002,all_lines,,13982,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
AL,2004,all_lines,,8011,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
AL,2005,all_lines,,3155,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
AL,2006,all_lines,,4295,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
AL,2007,all_lines,,4639,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
AL,2008,all_lines,,5448,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
AL,2009,all_lines,,1146,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
AL,2010,all_lines,,2221,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
AL,2011,all_lines,,2152,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
AL,2012,all_lines,,2296,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
AL,2013,all_lines,,2166,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
AL,2014,all_lines,,2378,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
AL,2015,all_lines,,2054,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
AL,2016,all_lines,,2608,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
AL,2017,all_lines,,2154,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
AL,2018,all_lines,,1701,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
AL,2019,all_lines,,1562,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
AL,2020,all_lines,,1323,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
AL,2021,all_lines,,1443,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
