year,jurisdiction,jurisdiction_name,complaints,inquiries
1998,AK,Alaska,438,259
1998,AL,Alabama,252,2632
1998,AR,Arkansas,2516,24353
1998,AZ,Arizona,5619,97292
1998,CA,California,31540,625841
1998,CO,Colorado,8696,59099
1998,CT,Connecticut,10953,50000
1998,DC,Dist. of Columbia,997,7200
1998,DE,Delaware,7125,9445
1998,FL,Florida,37702,299680
1998,GA,Georgia,10611,83109
1998,HI,Hawaii,1522,10500
1998,IA,Iowa,2442,22670
1998,ID,Idaho,1826,14967
1998,IL,Illinois,13812,70000
1998,IN,Indiana,5029,102726
1998,KS,Kansas,5521,1542
1998,KY,Kentucky,6413,25183
1998,LA,Louisiana,4537,5530
1998,MA,Massachusetts,3158,67110
1998,MD,Maryland,22698,3557
1998,ME,Maine,1900,14849
1998,MI,Michigan,4668,761
1998,MN,Minnesota,2213,43430
1998,MO,Missouri,5272,71856
1998,MS,Mississippi,9000,11000
1998,MT,Montana,1948,968
1998,NC,North Carolina,9522,108474
1998,ND,North Dakota,489,12374
1998,NE,Nebraska,2700,6913
1998,NH,New Hampshire,2491,23222
1998,NJ,New Jersey,10619,2287
1998,NM,New Mexico,1876,0
1998,NV,Nevada,2371,68059
1998,NY,New York,57794,600000
1998,OH,Ohio,8389,107036
1998,OK,Oklahoma,6359,55125
1998,OR,Oregon,4489,20311
1998,PA,Pennsylvania,17005,150000
1998,PR,Puerto Rico,0,1508
1998,RI,Rhode Island,839,0
1998,SC,South Carolina,4189,50617
1998,SD,South Dakota,1181,4227
1998,TN,Tennessee,4209,37580
1998,TX,Texas,31006,344244
1998,UT,Utah,1064,35806
1998,VA,Virginia,7994,0
1998,VI,U.S. Virgin Islands,34,0
1998,VT,Vermont,910,278
1998,WA,Washington,7361,100133
1998,WI,Wisconsin,8834,46206
1998,WV,West Virginia,3209,44712
1998,WY,Wyoming,473,3400
1999,AK,Alaska,391,191
1999,AL,Alabama,670,2179
1999,AR,Arkansas,3621,23587
1999,AZ,Arizona,3465,2346
1999,CA,California,46369,530484
1999,CO,Colorado,9036,62245
1999,CT,Connecticut,12119,6698
1999,DC,Dist. of Columbia,634,0
1999,DE,Delaware,6997,8792
1999,FL,Florida,35819,399981
