state,first_year,last_year,years_present,missing_years_in_range,null_count_years,mean_complaints,phase5_candidate
AL,1998,2022,24,,,3902.2,no
AK,1998,2022,24,,,323.5,no
AR,1998,2022,24,,,2613.9,no
AZ,1998,2022,24,,,2837.5,no
DE,1998,2022,24,,,3153.6,no
DC,1998,2022,24,,,730.9,no
GA,1998,2022,24,,,11526.1,no
HI,1998,2022,24,,,722.9,no
IA,1998,2022,24,,,1944.6,no
KY,1998,2022,24,,,4529.5,no
LA,1998,2022,24,,,4451.2,yes
ME,1998,2022,24,,,1080.9,no
MN,1998,2022,24,,,3066.7,yes
MS,1998,2022,24,,,6227.4,no
MT,1998,2022,24,,,1555.2,no
NE,1998,2022,24,,,1610.0,no
NV,1998,2022,24,,,2775.6,no
NH,1998,2022,24,,,1162.6,no
NM,1998,2022,24,,,1334.3,no
ND,1998,2022,24,,,241.3,no
OK,1998,2022,24,,,4396.3,no
OR,1998,2022,24,,,3879.3,yes
RI,1998,2022,24,,,503.6,no
SC,1998,2022,24,,,3292.4,no
SD,1998,2022,24,,,882.8,no
TN,1998,2022,24,,,3358.1,yes
UT,1998,2022,24,,,1067.7,no
VT,1998,2022,24,,,587.3,yes
WV,1998,2022,24,,,2209.8,no
WY,1998,2022,24,,,493.4,no
