year,vol,source,url,note
1986,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=5908&ownerType=0&ownerId=11628,
1987,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=5909&ownerType=0&ownerId=11628,
1988,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=5910&ownerType=0&ownerId=11628,
1989,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=5616&ownerType=0&ownerId=11628,
1990,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3930&ownerType=0&ownerId=11628,
1991,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3931&ownerType=0&ownerId=11628,
1992,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3652&ownerType=0&ownerId=11628,
1993,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3579&ownerType=0&ownerId=11628,
1994,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3637&ownerType=0&ownerId=11628,
1995,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3578&ownerType=0&ownerId=11628,
1996,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3653&ownerType=0&ownerId=11628,
1997,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3638&ownerType=0&ownerId=11628,
1998,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3654&ownerType=0&ownerId=11628,
1999,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3655&ownerType=0&ownerId=11628,
2000,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3643&ownerType=0&ownerId=11628,
2001,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3646&ownerType=0&ownerId=11628,
2002,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3649&ownerType=0&ownerId=11628,
2003,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3642&ownerType=0&ownerId=11628,
2004,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3647&ownerType=0&ownerId=11628,
2005,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3644&ownerType=0&ownerId=11628,
2006,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3645&ownerType=0&ownerId=11628,
2007,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3648&ownerType=0&ownerId=11628,
2008,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3650&ownerType=0&ownerId=11628,
2009,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3640&ownerType=0&ownerId=11628,
2010,12,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3525&ownerType=0&ownerId=11628,combined Vol 1+2
2011,12,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3502&ownerType=0&ownerId=11628,combined Vol 1+2
2012,12,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3501&ownerType=0&ownerId=11628,combined Vol 1+2
2013,12,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=3500&ownerType=0&ownerId=11628,combined Vol 1+2
2014,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=6492&ownerType=0&ownerId=11628,
2015,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=6493&ownerType=0&ownerId=11628,
2016,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=6494&ownerType=0&ownerId=11628,
2017,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=6495&ownerType=0&ownerId=11628,
2018,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=6496&ownerType=0&ownerId=11628,
2019,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=6497&ownerType=0&ownerId=11628,
2020,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=9784&ownerType=0&ownerId=11628,
2021,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=9783&ownerType=0&ownerId=11628,
2022,1,soutron,https://naic.soutronglobal.net/Portal/Public/en-US/DownloadImageFile.ashx?objectId=12276&ownerType=0&ownerId=11628,
2023,1,naic,https://content.naic.org/sites/default/files/publication-sta-bb-volume-one.pdf,current Vol 1 - URL gets overwritten on next year's release
2023,2,naic,https://content.naic.org/sites/default/files/publication-sta-bb-volume-two.pdf,current Vol 2 - URL gets overwritten on next year's release
