data_year,guide_year,plan_type,plan_name,rank,total_complaints_dfs,upheld_complaints_dfs,premiums_millions,complaint_ratio_dfs,total_complaints_doh,upheld_complaints_doh
2015,2016,Commercial,MVP Health Services Corporation3,0,0,0,187.91,0.0,,
2015,2016,Commercial,"Eastern Vision Service Plan, Inc.4",0,0,0,85.92,0.0,,
2015,2016,Commercial,MVP Health Services Corporation,1,0,0,187.91,0.0,,
2015,2016,Commercial,"Delta Dental of New York, Inc.",2,3,0,161.54,0.0,,
2015,2016,Commercial,"Delta Dental of New York, Inc.3",3,0,0,161.54,0.0,,
2015,2016,Commercial,Sun Life and Health Insurance Company,3,5,0,144.19,0.0,,
2015,2016,Commercial,"Eastern Vision Service Plan, Inc.",4,0,0,85.92,0.0,,
2015,2016,Commercial,Hartford Life Insurance Company,5,1,0,81.97,0.0,,
2015,2016,Commercial,Massachusetts Mutual Life Insurance Company,6,1,0,78.89,0.0,,
2015,2016,Commercial,Berkshire Life Insurance Company of America,7,1,0,70.66,0.0,,
2015,2016,Commercial,HM Life Insurance Company of New York,8,1,0,65.31,0.0,,
2015,2016,Commercial,"Dentcare Delivery Systems, Inc.",9,9,0,63.19,0.0,,
2015,2016,Commercial,"Dentcare Delivery Systems, Inc.3",9,0,0,63.19,0.0,,
2015,2016,Commercial,Liberty Life Assurance Company of Boston,10,1,0,59.55,0.0,,
2015,2016,Commercial,Genworth Life Insurance Company of New York,11,6,1,193.4,0.0052,,
2015,2016,Commercial,American Progressive Life and Health Insurance,12,14,2,377.87,0.0053,,
2015,2016,Commercial,Northwestern Mutual Life Insurance Company,13,4,1,89.86,0.0111,,
2015,2016,Commercial,Guardian Life Insurance Company of America,14,37,6,382.75,0.0157,,
2015,2016,Commercial,American Family Life Assurance Company of New York,15,17,5,287.9,0.0174,,
2015,2016,Commercial,Prudential Insurance Company of America,16,8,2,115.04,0.0174,,
2015,2016,Commercial,"National Union Fire Insurance Company of Pittsburgh, PA",17,5,2,111.65,0.0179,,
2015,2016,Commercial,"",18,3,0,50.25,0.0,,
2015,2016,Commercial,First Unum Life Insurance Company,18,19,5,278.95,0.0179,,
2015,2016,Commercial,CIGNA Life Insurance Company of New York,19,15,2,102.34,0.0195,,
2015,2016,Commercial,ShelterPoint Life Insurance Company,20,4,2,85.71,0.0233,,
2015,2016,Commercial,Metropolitan Life Insurance Company,21,61,15,601.47,0.0249,,
2015,2016,Commercial,Standard Security Life Insurance Company of New York,22,6,2,76.96,0.026,,
2015,2016,Commercial,Combined Life Insurance Company of New York,23,22,3,108.13,0.0277,,
2015,2016,Commercial,New York Life Insurance Company,24,7,2,69.6,0.0287,,
2015,2016,Commercial,Principal Life Insurance Company,25,6,2,65.11,0.0307,,
2015,2016,Commercial,Paul Revere Life Insurance Company,26,4,2,60.67,0.033,,
2015,2016,Commercial,Standard Life Insurance Company of New York,27,2,2,51.34,0.039,,
2015,2016,Commercial,United States Life Insurance Company in the City of New York,28,18,2,50.25,0.0398,,
2015,2016,Commercial,Transamerica Financial Life Insurance Company,29,10,5,105.71,0.0473,,
2015,2016,Commercial,Nippon Life Insurance Company of America,30,5,3,57.04,0.0526,,
2015,2016,Commercial,John Hancock Life & Health Insurance Company,31,12,9,119.43,0.0754,,
2015,2016,Commercial,Hartford Life and Accident Insurance Company,32,8,4,51.03,0.0784,,
2015,2016,EPO/PPO,Independent Health Benefits Corporation,1,6,0,541.09,0.0,,
2015,2016,EPO/PPO,"CDPHP Universal Benefits, Inc.",2,32,4,714.94,0.0056,,
2015,2016,EPO/PPO,HealthNow New York Inc.,3,37,9,1377.6,0.0065,,
2015,2016,EPO/PPO,"Excellus Health Plan, Inc.",4,160,32,3765.59,0.0085,,
2015,2016,EPO/PPO,UnitedHealthcare Insurance Company of New York,5,174,66,2091.51,0.0316,,
2015,2016,EPO/PPO,MVP Health Insurance Company,6,24,7,212.88,0.0329,,
2015,2016,EPO/PPO,CIGNA Health and Life Insurance Company,7,127,47,1196.86,0.0393,,
2015,2016,EPO/PPO,"Oxford Health Insurance, Inc.",8,899,185,4608.09,0.0401,,
2015,2016,EPO/PPO,Oscar Insurance Corporation,9,31,6,123.1,0.0487,,
2015,2016,EPO/PPO,"Empire HealthChoice Assurance, Inc.",10,344,111,2161.11,0.0514,,
2015,2016,EPO/PPO,"North Shore-LIJ Care Connect Insurance Company, Inc.",11,32,7,128.74,0.0544,,
2015,2016,EPO/PPO,Aetna Life Insurance Company,12,552,180,2876.87,0.0626,,
2015,2016,EPO/PPO,Group Health Incorporated,13,496,190,672.77,0.2824,,
2015,2016,EPO/PPO,MVP Health Insurance Company2,24,6,2,212.88,0.0094,,
2015,2016,EPO/PPO,"CDPHP Universal Benefits, Inc.2",32,8,1,714.94,0.0014,,
2015,2016,EPO/PPO,HealthNow New York Inc.2,37,10,6,1377.6,0.0044,,
2015,2016,EPO/PPO,CIGNA Health and Life Insurance Company2,127,37,12,1196.86,0.01,,
2015,2016,EPO/PPO,"Excellus Health Plan, Inc.2",160,27,14,3765.59,0.0037,,
