state,year,line,company_name_raw,premium_written,total_complaints,confirmed_complaints,complaint_index,source_pdf
OR,2019,annuities,AAA LIFE INSURANCE COMPANY,314322,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,ALLIANZ LIFE INSURANCE COMPANY OF NORTH AMERICA,99779977,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,ALLSTATE LIFE INSURANCE COMPANY,402862,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN BANKERS LIFE ASSURANCE CO OF FLORIDA,120,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN EQUITY INVESTMENT LIFE INSURANCE COMPANY,26311733,3,1,29.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN FAMILY LIFE INSURANCE COMPANY,66590,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN FIDELITY ASSURANCE COMPANY,15643833,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN FIDELITY LIFE INSURANCE COMPANY,60315,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN GENERAL LIFE INSURANCE COMPANY,91804214,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN HERITAGE LIFE INSURANCE COMPANY,3128,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN MEMORIAL LIFE INSURANCE COMPANY,7853,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN NATIONAL INSURANCE COMPANY,10025899,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN UNITED LIFE INSURANCE COMPANY,97721840,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICAN-AMICABLE LIFE INSURANCE COMPANY OF TEXAS,17901,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERICO FINANCIAL LIFE AND ANNUITY INSURANCE COMPANY,667725,1,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMERITAS LIFE INSURANCE CORPORATION,16125543,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,AMICA LIFE INSURANCE COMPANY,51749,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,ANNUITY INVESTORS LIFE INSURANCE COMPANY,194048,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,ASSURED LIFE ASSOCIATION,48825,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,ASSURITY LIFE INSURANCE COMPANY,29254,0,0,0.0,annuities_2019.pdf
OR,2019,annuities,ATHENE ANNUITY & LIFE ASSURANCE COMPANY,24300,0,0,0.0,annuities_2019.pdf
