data_year,line,complaints,report_year,source_file
2019,auto,562,2020,WIR_2020.pdf
2019,fire_allied_other_property,67,2020,WIR_2020.pdf
2019,general_liability,48,2020,WIR_2020.pdf
2019,grand_total,2807,2020,WIR_2020.pdf
2019,group_health,521,2020,WIR_2020.pdf
2019,homeowners_tenants_farmowners,414,2020,WIR_2020.pdf
2019,individual_health,358,2020,WIR_2020.pdf
2019,life_credit_annuities,428,2020,WIR_2020.pdf
2019,long_term_care,81,2020,WIR_2020.pdf
2019,medicare_supplement,120,2020,WIR_2020.pdf
2019,other_pc,131,2020,WIR_2020.pdf
2019,total_accident_health,1080,2020,WIR_2020.pdf
2019,total_property_casualty,1299,2020,WIR_2020.pdf
2019,workers_comp,81,2020,WIR_2020.pdf
2020,auto,516,2020,WIR_2020.pdf
2020,fire_allied_other_property,92,2020,WIR_2020.pdf
2020,general_liability,33,2021,WIR_2021.pdf
2020,grand_total,2588,2021,WIR_2021.pdf
2020,group_health,471,2021,WIR_2021.pdf
2020,homeowners_tenants_farmowners,274,2020,WIR_2020.pdf
2020,individual_health,366,2020,WIR_2020.pdf
2020,life_credit_annuities,354,2021,WIR_2021.pdf
2020,long_term_care,89,2020,WIR_2020.pdf
2020,medicare_supplement,112,2020,WIR_2020.pdf
2020,other_pc,225,2021,WIR_2021.pdf
2020,total_accident_health,1038,2021,WIR_2021.pdf
2020,total_property_casualty,1196,2020,WIR_2020.pdf
2020,workers_comp,56,2021,WIR_2021.pdf
2021,auto,416,2022,WIR_2022.pdf
2021,fire_allied_other_property,37,2022,WIR_2022.pdf
2021,general_liability,29,2022,WIR_2022.pdf
2021,grand_total,2121,2022,WIR_2022.pdf
2021,group_health,405,2022,WIR_2022.pdf
2021,homeowners_tenants_farmowners,237,2022,WIR_2022.pdf
2021,individual_health,276,2022,WIR_2022.pdf
2021,life_credit_annuities,303,2022,WIR_2022.pdf
2021,long_term_care,82,2022,WIR_2022.pdf
2021,medicare_supplement,95,2022,WIR_2022.pdf
2021,other_pc,172,2022,WIR_2022.pdf
2021,total_accident_health,858,2022,WIR_2022.pdf
2021,total_property_casualty,960,2022,WIR_2022.pdf
2021,workers_comp,69,2022,WIR_2022.pdf
2022,auto,525,2023,WIR_2023.pdf
2022,fire_allied_other_property,49,2023,WIR_2023.pdf
2022,general_liability,47,2023,WIR_2023.pdf
2022,grand_total,2467,2023,WIR_2023.pdf
2022,group_health,400,2023,WIR_2023.pdf
2022,homeowners_tenants_farmowners,454,2023,WIR_2023.pdf
2022,individual_health,285,2023,WIR_2023.pdf
2022,life_credit_annuities,307,2023,WIR_2023.pdf
2022,long_term_care,60,2023,WIR_2023.pdf
2022,medicare_supplement,87,2023,WIR_2023.pdf
2022,other_pc,200,2023,WIR_2023.pdf
2022,total_accident_health,832,2023,WIR_2023.pdf
2022,total_property_casualty,1328,2023,WIR_2023.pdf
2022,workers_comp,53,2023,WIR_2023.pdf
2023,auto,590,2024,WIR_2024.pdf
2023,fire_allied_other_property,57,2024,WIR_2024.pdf
2023,general_liability,40,2024,WIR_2024.pdf
2023,grand_total,2878,2024,WIR_2024.pdf
2023,group_health,456,2024,WIR_2024.pdf
2023,homeowners_tenants_farmowners,597,2024,WIR_2024.pdf
2023,individual_health,319,2024,WIR_2024.pdf
2023,life_credit_annuities,385,2024,WIR_2024.pdf
2023,long_term_care,52,2024,WIR_2024.pdf
2023,medicare_supplement,112,2024,WIR_2024.pdf
2023,other_pc,216,2024,WIR_2024.pdf
2023,total_accident_health,939,2024,WIR_2024.pdf
2023,total_property_casualty,1554,2024,WIR_2024.pdf
2023,workers_comp,54,2024,WIR_2024.pdf
2024,auto,613,2024,WIR_2024.pdf
2024,fire_allied_other_property,69,2024,WIR_2024.pdf
2024,general_liability,63,2024,WIR_2024.pdf
2024,grand_total,3219,2024,WIR_2024.pdf
2024,group_health,429,2024,WIR_2024.pdf
2024,homeowners_tenants_farmowners,697,2024,WIR_2024.pdf
2024,individual_health,456,2024,WIR_2024.pdf
2024,life_credit_annuities,437,2024,WIR_2024.pdf
2024,long_term_care,53,2024,WIR_2024.pdf
2024,medicare_supplement,111,2024,WIR_2024.pdf
2024,other_pc,206,2024,WIR_2024.pdf
2024,total_accident_health,1049,2024,WIR_2024.pdf
2024,total_property_casualty,1733,2024,WIR_2024.pdf
2024,workers_comp,85,2024,WIR_2024.pdf
